x,y,z
5,85,1
5,85,2
5,85,3
5,85,4
5,85,5
5,86,0
5,86,1
5,86,2
5,86,3
5,86,4
5,86,5
5,87,0
5,87,5
5,88,0
5,88,5
5,89,0
5,89,5
5,90,0
5,90,5
5,91,0
5,91,1
5,91,2
5,91,3
5,91,4
5,91,5
5,92,0
5,92,1
5,92,2
5,92,3
5,92,4
5,92,5
5,93,0
5,93,1
5,93,2
5,93,3
5,93,4
5,93,5
5,94,0
5,94,1
5,94,2
5,94,3
5,94,4
5,94,5
5,95,0
5,95,1
5,95,2
5,95,3
5,95,4
5,95,5
5,96,0
5,96,1
5,96,2
5,96,3
5,96,4
5,96,5
5,97,0
5,97,1
5,97,2
5,97,3
5,97,4
5,97,5
5,98,0
5,98,1
5,98,2
5,98,3
5,98,4
5,98,5
5,99,0
5,99,1
5,99,2
5,99,3
5,99,4
5,99,5
5,100,0
5,100,1
5,100,2
5,100,3
5,100,4
5,100,5
5,101,0
5,101,1
5,101,2
5,101,3
5,101,4
5,101,5
5,102,0
5,102,1
5,102,2
5,102,3
5,102,4
5,102,5
5,103,0
5,103,1
5,103,2
5,103,3
5,103,4
5,103,5
5,104,0
5,104,1
5,104,2
5,104,3
5,104,4
5,104,5
5,105,0
5,105,1
5,105,2
5,105,3
5,105,4
5,105,5
5,106,0
5,106,1
5,106,2
5,106,3
5,106,4
5,106,5
5,107,0
5,107,1
5,107,2
5,107,3
5,107,4
5,107,5
5,108,0
5,108,1
5,108,2
5,108,3
5,108,4
5,108,5
5,109,0
5,109,1
5,109,2
5,109,3
5,109,4
5,109,5
5,110,0
5,110,1
5,110,2
5,110,3
5,110,4
5,110,5
5,111,0
5,111,1
5,111,2
5,111,3
5,111,4
5,111,5
5,112,0
5,112,1
5,112,2
5,112,3
5,112,4
5,112,5
6,85,0
6,85,1
6,85,2
6,85,3
6,85,4
6,85,5
6,86,0
6,86,1
6,86,2
6,86,3
6,86,4
6,86,5
6,87,0
6,87,5
6,88,0
6,88,5
6,89,0
6,89,5
6,90,0
6,90,5
6,91,0
6,91,1
6,91,2
6,91,3
6,91,4
6,91,5
6,92,0
6,92,1
6,92,2
6,92,3
6,92,4
6,92,5
6,93,0
6,93,1
6,93,2
6,93,3
6,93,4
6,93,5
6,94,0
6,94,1
6,94,2
6,94,3
6,94,4
6,94,5
6,95,0
6,95,1
6,95,2
6,95,3
6,95,4
6,95,5
6,96,0
6,96,1
6,96,2
6,96,3
6,96,4
6,96,5
6,97,0
6,97,1
6,97,2
6,97,3
6,97,4
6,97,5
6,98,0
6,98,1
6,98,2
6,98,3
6,98,4
6,98,5
6,99,0
6,99,1
6,99,2
6,99,3
6,99,4
6,99,5
6,100,0
6,100,1
6,100,2
6,100,3
6,100,4
6,100,5
6,101,0
6,101,1
6,101,2
6,101,3
6,101,4
6,101,5
6,102,0
6,102,1
6,102,2
6,102,3
6,102,4
6,102,5
6,103,0
6,103,1
6,103,2
6,103,3
6,103,4
6,103,5
6,104,0
6,104,1
6,104,2
6,104,3
6,104,4
6,104,5
6,105,0
6,105,1
6,105,2
6,105,3
6,105,4
6,105,5
6,106,0
6,106,1
6,106,2
6,106,3
6,106,4
6,106,5
6,107,0
6,107,1
6,107,2
6,107,3
6,107,4
6,107,5
6,108,0
6,108,1
6,108,2
6,108,3
6,108,4
6,108,5
6,109,0
6,109,1
6,109,2
6,109,3
6,109,4
6,109,5
6,110,0
6,110,1
6,110,2
6,110,3
6,110,4
6,110,5
6,111,0
6,111,1
6,111,2
6,111,3
6,111,4
6,111,5
6,112,0
6,112,1
6,112,2
6,112,3
6,112,4
6,112,5
7,85,0
7,85,1
7,85,2
7,85,3
7,85,4
7,85,5
7,86,0
7,86,1
7,86,2
7,86,3
7,86,4
7,86,5
7,87,0
7,87,5
7,88,0
7,88,5
7,89,0
7,89,5
7,90,0
7,90,5
7,91,0
7,91,1
7,91,2
7,91,3
7,91,4
7,91,5
7,92,0
7,92,1
7,92,2
7,92,3
7,92,4
7,92,5
7,93,0
7,93,1
7,93,2
7,93,3
7,93,4
7,93,5
7,94,0
7,94,1
7,94,2
7,94,3
7,94,4
7,94,5
7,95,0
7,95,1
7,95,2
7,95,3
7,95,4
7,95,5
7,96,0
7,96,1
7,96,2
7,96,3
7,96,4
7,96,5
7,97,0
7,97,1
7,97,2
7,97,3
7,97,4
7,97,5
7,98,0
7,98,1
7,98,2
7,98,3
7,98,4
7,98,5
7,99,0
7,99,1
7,99,2
7,99,3
7,99,4
7,99,5
7,100,0
7,100,1
7,100,2
7,100,3
7,100,4
7,100,5
7,101,0
7,101,1
7,101,2
7,101,3
7,101,4
7,101,5
7,102,0
7,102,1
7,102,2
7,102,3
7,102,4
7,102,5
7,103,0
7,103,1
7,103,2
7,103,3
7,103,4
7,103,5
7,104,0
7,104,1
7,104,2
7,104,3
7,104,4
7,104,5
7,105,0
7,105,1
7,105,2
7,105,3
7,105,4
7,105,5
7,106,0
7,106,1
7,106,2
7,106,3
7,106,4
7,106,5
7,107,0
7,107,1
7,107,2
7,107,3
7,107,4
7,107,5
7,108,0
7,108,1
7,108,2
7,108,3
7,108,4
7,108,5
7,109,0
7,109,1
7,109,2
7,109,3
7,109,4
7,109,5
7,110,0
7,110,1
7,110,2
7,110,3
7,110,4
7,110,5
7,111,0
7,111,1
7,111,2
7,111,3
7,111,4
7,111,5
7,112,0
7,112,1
7,112,2
7,112,3
7,112,4
7,112,5
8,85,0
8,85,1
8,85,2
8,85,3
8,85,4
8,85,5
8,86,0
8,86,1
8,86,2
8,86,3
8,86,4
8,86,5
8,87,0
8,87,5
8,88,0
8,88,5
8,89,0
8,89,5
8,90,0
8,90,5
8,91,0
8,91,1
8,91,2
8,91,3
8,91,4
8,91,5
8,92,0
8,92,1
8,92,2
8,92,3
8,92,4
8,92,5
8,93,0
8,93,1
8,93,2
8,93,3
8,93,4
8,93,5
8,94,0
8,94,1
8,94,2
8,94,3
8,94,4
8,94,5
8,95,0
8,95,1
8,95,2
8,95,3
8,95,4
8,95,5
8,96,0
8,96,1
8,96,2
8,96,3
8,96,4
8,96,5
8,97,0
8,97,1
8,97,2
8,97,3
8,97,4
8,97,5
8,98,0
8,98,1
8,98,2
8,98,3
8,98,4
8,98,5
8,99,0
8,99,1
8,99,2
8,99,3
8,99,4
8,99,5
8,100,0
8,100,1
8,100,2
8,100,3
8,100,4
8,100,5
8,101,0
8,101,1
8,101,2
8,101,3
8,101,4
8,101,5
8,102,0
8,102,1
8,102,2
8,102,3
8,102,4
8,102,5
8,103,0
8,103,1
8,103,2
8,103,3
8,103,4
8,103,5
8,104,0
8,104,1
8,104,2
8,104,3
8,104,4
8,104,5
8,105,0
8,105,1
8,105,2
8,105,3
8,105,4
8,105,5
8,106,0
8,106,1
8,106,2
8,106,3
8,106,4
8,106,5
8,107,0
8,107,1
8,107,2
8,107,3
8,107,4
8,107,5
8,108,0
8,108,1
8,108,2
8,108,3
8,108,4
8,108,5
8,109,0
8,109,1
8,109,2
8,109,3
8,109,4
8,109,5
8,110,0
8,110,1
8,110,2
8,110,3
8,110,4
8,110,5
8,111,0
8,111,1
8,111,2
8,111,3
8,111,4
8,111,5
8,112,0
8,112,1
8,112,2
8,112,3
8,112,4
8,112,5
9,85,0
9,85,1
9,85,2
9,85,3
9,85,4
9,85,5
9,86,0
9,86,1
9,86,2
9,86,3
9,86,4
9,86,5
9,87,0
9,87,5
9,88,0
9,88,5
9,89,0
9,89,5
9,90,0
9,90,5
9,91,0
9,91,1
9,91,2
9,91,3
9,91,4
9,91,5
9,92,0
9,92,1
9,92,2
9,92,3
9,92,4
9,92,5
9,93,0
9,93,1
9,93,2
9,93,3
9,93,4
9,93,5
9,94,0
9,94,1
9,94,2
9,94,3
9,94,4
9,94,5
9,95,0
9,95,1
9,95,2
9,95,3
9,95,4
9,95,5
9,96,0
9,96,1
9,96,2
9,96,3
9,96,4
9,96,5
9,97,0
9,97,1
9,97,2
9,97,3
9,97,4
9,97,5
9,98,0
9,98,1
9,98,2
9,98,3
9,98,4
9,98,5
9,99,0
9,99,1
9,99,2
9,99,3
9,99,4
9,99,5
9,100,0
9,100,1
9,100,2
9,100,3
9,100,4
9,100,5
9,101,0
9,101,1
9,101,2
9,101,3
9,101,4
9,101,5
9,102,0
9,102,1
9,102,2
9,102,3
9,102,4
9,102,5
9,103,0
9,103,1
9,103,2
9,103,3
9,103,4
9,103,5
9,104,0
9,104,1
9,104,2
9,104,3
9,104,4
9,104,5
9,105,0
9,105,1
9,105,2
9,105,3
9,105,4
9,105,5
9,106,0
9,106,1
9,106,2
9,106,3
9,106,4
9,106,5
9,107,0
9,107,1
9,107,2
9,107,3
9,107,4
9,107,5
9,108,0
9,108,1
9,108,2
9,108,3
9,108,4
9,108,5
9,109,0
9,109,1
9,109,2
9,109,3
9,109,4
9,109,5
9,110,0
9,110,1
9,110,2
9,110,3
9,110,4
9,110,5
9,111,0
9,111,1
9,111,2
9,111,3
9,111,4
9,111,5
9,112,0
9,112,1
9,112,2
9,112,3
9,112,4
9,112,5
10,85,0
10,85,1
10,85,2
10,85,3
10,85,4
10,85,5
10,86,0
10,86,1
10,86,2
10,86,3
10,86,4
10,86,5
10,87,0
10,87,5
10,88,0
10,88,5
10,89,0
10,89,5
10,90,0
10,90,5
10,91,0
10,91,1
10,91,2
10,91,3
10,91,4
10,91,5
10,92,0
10,92,1
10,92,2
10,92,3
10,92,4
10,92,5
10,93,0
10,93,1
10,93,2
10,93,3
10,93,4
10,93,5
10,94,0
10,94,1
10,94,2
10,94,3
10,94,4
10,94,5
10,95,0
10,95,1
10,95,2
10,95,3
10,95,4
10,95,5
10,96,0
10,96,1
10,96,2
10,96,3
10,96,4
10,96,5
10,97,0
10,97,1
10,97,2
10,97,3
10,97,4
10,97,5
10,98,0
10,98,1
10,98,2
10,98,3
10,98,4
10,98,5
10,99,0
10,99,1
10,99,2
10,99,3
10,99,4
10,99,5
10,100,0
10,100,1
10,100,2
10,100,3
10,100,4
10,100,5
10,101,0
10,101,1
10,101,2
10,101,3
10,101,4
10,101,5
10,102,0
10,102,1
10,102,2
10,102,3
10,102,4
10,102,5
10,103,0
10,103,1
10,103,2
10,103,3
10,103,4
10,103,5
10,104,0
10,104,1
10,104,2
10,104,3
10,104,4
10,104,5
10,105,0
10,105,1
10,105,2
10,105,3
10,105,4
10,105,5
10,106,0
10,106,1
10,106,2
10,106,3
10,106,4
10,106,5
10,107,0
10,107,1
10,107,2
10,107,3
10,107,4
10,107,5
10,108,0
10,108,1
10,108,2
10,108,3
10,108,4
10,108,5
10,109,0
10,109,1
10,109,2
10,109,3
10,109,4
10,109,5
10,110,0
10,110,1
10,110,2
10,110,3
10,110,4
10,110,5
10,111,0
10,111,1
10,111,2
10,111,3
10,111,4
10,111,5
10,112,0
10,112,1
10,112,2
10,112,3
10,112,4
10,112,5
11,85,0
11,85,1
11,85,2
11,85,3
11,85,4
11,85,5
11,86,0
11,86,1
11,86,2
11,86,3
11,86,4
11,86,5
11,87,0
11,87,5
11,88,0
11,88,5
11,89,0
11,89,5
11,90,0
11,90,5
11,91,0
11,91,1
11,91,2
11,91,3
11,91,4
11,91,5
11,92,0
11,92,1
11,92,2
11,92,3
11,92,4
11,92,5
11,93,0
11,93,1
11,93,2
11,93,3
11,93,4
11,93,5
11,94,0
11,94,1
11,94,2
11,94,3
11,94,4
11,94,5
11,95,0
11,95,1
11,95,2
11,95,3
11,95,4
11,95,5
11,96,0
11,96,1
11,96,2
11,96,3
11,96,4
11,96,5
11,97,0
11,97,1
11,97,2
11,97,3
11,97,4
11,97,5
11,98,0
11,98,1
11,98,2
11,98,3
11,98,4
11,98,5
11,99,0
11,99,1
11,99,2
11,99,3
11,99,4
11,99,5
11,100,0
11,100,1
11,100,2
11,100,3
11,100,4
11,100,5
11,101,0
11,101,1
11,101,2
11,101,3
11,101,4
11,101,5
11,102,0
11,102,1
11,102,2
11,102,3
11,102,4
11,102,5
11,103,0
11,103,1
11,103,2
11,103,3
11,103,4
11,103,5
11,104,0
11,104,1
11,104,2
11,104,3
11,104,4
11,104,5
11,105,0
11,105,1
11,105,2
11,105,3
11,105,4
11,105,5
11,106,0
11,106,1
11,106,2
11,106,3
11,106,4
11,106,5
11,107,0
11,107,1
11,107,2
11,107,3
11,107,4
11,107,5
11,108,0
11,108,1
11,108,2
11,108,3
11,108,4
11,108,5
11,109,0
11,109,1
11,109,2
11,109,3
11,109,4
11,109,5
11,110,0
11,110,1
11,110,2
11,110,3
11,110,4
11,110,5
11,111,0
11,111,1
11,111,2
11,111,3
11,111,4
11,111,5
11,112,0
11,112,1
11,112,2
11,112,3
11,112,4
11,112,5
12,85,0
12,85,1
12,85,2
12,85,3
12,85,4
12,85,5
12,86,0
12,86,1
12,86,2
12,86,3
12,86,4
12,86,5
12,87,0
12,87,5
12,88,0
12,88,5
12,89,0
12,89,5
12,90,0
12,90,5
12,91,0
12,91,1
12,91,2
12,91,3
12,91,4
12,91,5
12,92,0
12,92,1
12,92,2
12,92,3
12,92,4
12,92,5
12,93,0
12,93,1
12,93,2
12,93,3
12,93,4
12,93,5
12,94,0
12,94,1
12,94,2
12,94,3
12,94,4
12,94,5
12,95,0
12,95,1
12,95,2
12,95,3
12,95,4
12,95,5
12,96,0
12,96,1
12,96,2
12,96,3
12,96,4
12,96,5
12,97,0
12,97,1
12,97,2
12,97,3
12,97,4
12,97,5
12,98,0
12,98,1
12,98,2
12,98,3
12,98,4
12,98,5
12,99,0
12,99,1
12,99,2
12,99,3
12,99,4
12,99,5
12,100,0
12,100,1
12,100,2
12,100,3
12,100,4
12,100,5
12,101,0
12,101,1
12,101,2
12,101,3
12,101,4
12,101,5
12,102,0
12,102,1
12,102,2
12,102,3
12,102,4
12,102,5
12,103,0
12,103,1
12,103,2
12,103,3
12,103,4
12,103,5
12,104,0
12,104,1
12,104,2
12,104,3
12,104,4
12,104,5
12,105,0
12,105,1
12,105,2
12,105,3
12,105,4
12,105,5
12,106,0
12,106,1
12,106,2
12,106,3
12,106,4
12,106,5
12,107,0
12,107,1
12,107,2
12,107,3
12,107,4
12,107,5
12,108,0
12,108,1
12,108,2
12,108,3
12,108,4
12,108,5
12,109,0
12,109,1
12,109,2
12,109,3
12,109,4
12,109,5
12,110,0
12,110,1
12,110,2
12,110,3
12,110,4
12,110,5
12,111,0
12,111,1
12,111,2
12,111,3
12,111,4
12,111,5
12,112,0
12,112,1
12,112,2
12,112,3
12,112,4
12,112,5
13,85,0
13,85,1
13,85,2
13,85,3
13,85,4
13,85,5
13,86,0
13,86,1
13,86,2
13,86,3
13,86,4
13,86,5
13,87,0
13,87,5
13,88,0
13,88,5
13,89,0
13,89,5
13,90,0
13,90,5
13,91,0
13,91,1
13,91,2
13,91,3
13,91,4
13,91,5
13,92,0
13,92,1
13,92,2
13,92,3
13,92,4
13,92,5
13,93,0
13,93,1
13,93,2
13,93,3
13,93,4
13,93,5
13,94,0
13,94,1
13,94,2
13,94,3
13,94,4
13,94,5
13,95,0
13,95,1
13,95,2
13,95,3
13,95,4
13,95,5
13,96,0
13,96,1
13,96,2
13,96,3
13,96,4
13,96,5
13,97,0
13,97,1
13,97,2
13,97,3
13,97,4
13,97,5
13,98,0
13,98,1
13,98,2
13,98,3
13,98,4
13,98,5
13,99,0
13,99,1
13,99,2
13,99,3
13,99,4
13,99,5
13,100,0
13,100,1
13,100,2
13,100,3
13,100,4
13,100,5
13,101,0
13,101,1
13,101,2
13,101,3
13,101,4
13,101,5
13,102,0
13,102,1
13,102,2
13,102,3
13,102,4
13,102,5
13,103,0
13,103,1
13,103,2
13,103,3
13,103,4
13,103,5
13,104,0
13,104,1
13,104,2
13,104,3
13,104,4
13,104,5
13,105,0
13,105,1
13,105,2
13,105,3
13,105,4
13,105,5
13,106,0
13,106,1
13,106,2
13,106,3
13,106,4
13,106,5
13,107,0
13,107,1
13,107,2
13,107,3
13,107,4
13,107,5
13,108,0
13,108,1
13,108,2
13,108,3
13,108,4
13,108,5
13,109,0
13,109,1
13,109,2
13,109,3
13,109,4
13,109,5
13,110,0
13,110,1
13,110,2
13,110,3
13,110,4
13,110,5
13,111,0
13,111,1
13,111,2
13,111,3
13,111,4
13,111,5
13,112,0
13,112,1
13,112,2
13,112,3
13,112,4
13,112,5
14,85,0
14,85,1
14,85,2
14,85,3
14,85,4
14,85,5
14,86,0
14,86,1
14,86,2
14,86,3
14,86,4
14,86,5
14,87,0
14,87,5
14,88,0
14,88,5
14,89,0
14,89,5
14,90,0
14,90,5
14,91,0
14,91,1
14,91,2
14,91,3
14,91,4
14,91,5
14,92,0
14,92,1
14,92,2
14,92,3
14,92,4
14,92,5
14,93,0
14,93,1
14,93,2
14,93,3
14,93,4
14,93,5
14,94,0
14,94,1
14,94,2
14,94,3
14,94,4
14,94,5
14,95,0
14,95,1
14,95,2
14,95,3
14,95,4
14,95,5
14,96,0
14,96,1
14,96,2
14,96,3
14,96,4
14,96,5
14,97,0
14,97,1
14,97,2
14,97,3
14,97,4
14,97,5
14,98,0
14,98,1
14,98,2
14,98,3
14,98,4
14,98,5
14,99,0
14,99,1
14,99,2
14,99,3
14,99,4
14,99,5
14,100,0
14,100,1
14,100,2
14,100,3
14,100,4
14,100,5
14,101,0
14,101,1
14,101,2
14,101,3
14,101,4
14,101,5
14,102,0
14,102,1
14,102,2
14,102,3
14,102,4
14,102,5
14,103,0
14,103,1
14,103,2
14,103,3
14,103,4
14,103,5
14,104,0
14,104,1
14,104,2
14,104,3
14,104,4
14,104,5
14,105,0
14,105,1
14,105,2
14,105,3
14,105,4
14,105,5
14,106,0
14,106,1
14,106,2
14,106,3
14,106,4
14,106,5
14,107,0
14,107,1
14,107,2
14,107,3
14,107,4
14,107,5
14,108,0
14,108,1
14,108,2
14,108,3
14,108,4
14,108,5
14,109,0
14,109,1
14,109,2
14,109,3
14,109,4
14,109,5
14,110,0
14,110,1
14,110,2
14,110,3
14,110,4
14,110,5
14,111,0
14,111,1
14,111,2
14,111,3
14,111,4
14,111,5
14,112,0
14,112,1
14,112,2
14,112,3
14,112,4
14,112,5
15,85,0
15,85,1
15,85,2
15,85,3
15,85,4
15,85,5
15,86,0
15,86,1
15,86,2
15,86,3
15,86,4
15,86,5
15,87,0
15,87,5
15,88,0
15,88,5
15,89,0
15,89,5
15,90,0
15,90,5
15,91,0
15,91,1
15,91,2
15,91,3
15,91,4
15,91,5
15,92,0
15,92,1
15,92,2
15,92,3
15,92,4
15,92,5
15,93,0
15,93,1
15,93,2
15,93,3
15,93,4
15,93,5
15,94,0
15,94,1
15,94,2
15,94,3
15,94,4
15,94,5
15,95,0
15,95,1
15,95,2
15,95,3
15,95,4
15,95,5
15,96,0
15,96,1
15,96,2
15,96,3
15,96,4
15,96,5
15,97,0
15,97,1
15,97,2
15,97,3
15,97,4
15,97,5
15,98,0
15,98,1
15,98,2
15,98,3
15,98,4
15,98,5
15,99,0
15,99,1
15,99,2
15,99,3
15,99,4
15,99,5
15,100,0
15,100,1
15,100,2
15,100,3
15,100,4
15,100,5
15,101,0
15,101,1
15,101,2
15,101,3
15,101,4
15,101,5
15,102,0
15,102,1
15,102,2
15,102,3
15,102,4
15,102,5
15,103,0
15,103,1
15,103,2
15,103,3
15,103,4
15,103,5
15,104,0
15,104,1
15,104,2
15,104,3
15,104,4
15,104,5
15,105,0
15,105,1
15,105,2
15,105,3
15,105,4
15,105,5
15,106,0
15,106,1
15,106,2
15,106,3
15,106,4
15,106,5
15,107,0
15,107,1
15,107,2
15,107,3
15,107,4
15,107,5
15,108,0
15,108,1
15,108,2
15,108,3
15,108,4
15,108,5
15,109,0
15,109,1
15,109,2
15,109,3
15,109,4
15,109,5
15,110,0
